iter	Passed	Remaining
0	139	139075
1	141	70538
2	143	47672
3	145	36160
4	146	29234
5	148	24636
6	150	21337
7	152	18855
8	153	16934
9	155	15439
10	157	14171
11	159	13109
12	162	12304
13	164	11563
14	166	10901
15	167	10309
16	169	9786
17	170	9309
18	172	8907
19	174	8546
20	175	8197
21	177	7891
22	179	7605
23	180	7346
24	182	7114
25	183	6892
26	185	6684
27	186	6489
28	188	6303
29	190	6146
30	191	5989
31	192	5835
32	194	5694
33	195	5564
34	197	5448
35	199	5339
36	201	5236
37	202	5133
38	204	5032
39	205	4941
40	208	4886
41	210	4801
42	212	4721
43	213	4644
44	215	4577
45	217	4502
46	218	4434
47	220	4373
48	222	4311
49	223	4245
50	224	4186
51	226	4129
52	228	4077
53	229	4021
54	231	3975
55	233	3927
56	234	3882
57	236	3837
58	237	3794
59	239	3751
60	240	3708
61	242	3668
62	244	3630
63	245	3590
64	247	3554
65	248	3523
66	250	3490
67	252	3454
68	253	3421
69	255	3389
70	256	3360
71	258	3332
72	260	3302
73	261	3275
74	263	3246
75	264	3217
76	266	3191
77	267	3167
78	269	3143
79	271	3117
80	272	3090
81	274	3070
82	275	3039
83	276	3017
84	278	2995
85	279	2973
86	281	2952
87	282	2930
88	284	2908
89	285	2887
90	287	2870
91	288	2851
92	290	2831
93	292	2815
94	293	2796
95	295	2777
96	296	2759
97	298	2743
98	299	2728
99	301	2711
100	303	2697
101	304	2684
102	306	2671
103	308	2655
104	309	2641
105	311	2627
106	313	2614
107	314	2598
108	316	2589
109	318	2576
110	319	2562
111	321	2545
112	322	2532
113	324	2520
114	325	2507
115	327	2493
116	328	2481
117	330	2469
118	331	2457
119	333	2443
120	335	2434
121	336	2421
122	337	2409
123	339	2397
124	341	2387
125	342	2377
126	344	2365
127	345	2355
128	347	2346
129	349	2336
130	350	2325
131	351	2314
132	353	2305
133	355	2295
134	356	2285
135	358	2275
136	360	2268
137	361	2260
138	363	2250
139	364	2241
140	366	2231
141	367	2219
142	369	2211
143	370	2201
144	372	2196
145	374	2188
146	375	2179
147	377	2172
148	379	2165
149	380	2158
150	382	2149
151	384	2142
152	385	2135
153	387	2128
154	389	2122
155	391	2116
156	392	2108
157	394	2100
158	395	2094
159	397	2088
160	398	2077
161	399	2069
162	401	2061
163	402	2053
164	404	2047
165	405	2039
166	407	2032
167	409	2026
168	410	2018
169	412	2011
170	413	2004
171	414	1997
172	416	1990
173	417	1983
174	419	1977
175	421	1973
176	423	1967
177	424	1962
178	426	1957
179	428	1951
180	430	1946
181	431	1940
182	433	1934
183	435	1929
184	436	1923
185	438	1917
186	439	1912
187	441	1906
188	442	1900
189	444	1894
190	446	1890
191	448	1886
192	449	1879
193	451	1874
194	452	1868
195	454	1863
196	455	1856
197	457	1851
198	458	1846
199	460	1840
200	461	1834
201	463	1829
202	464	1824
203	466	1819
204	467	1814
205	469	1808
206	471	1805
207	473	1801
208	475	1797
209	476	1794
210	478	1789
211	479	1783
212	481	1778
213	482	1773
214	484	1767
215	485	1761
216	486	1755
217	487	1750
218	489	1744
219	490	1739
220	492	1734
221	493	1729
222	495	1725
223	496	1721
224	498	1716
225	499	1711
226	501	1707
227	502	1702
228	503	1696
229	505	1691
230	506	1687
231	508	1683
232	509	1678
233	511	1674
234	513	1672
235	515	1669
236	517	1665
237	519	1662
238	520	1658
239	522	1654
240	524	1651
241	525	1647
242	527	1642
243	528	1638
244	530	1634
245	532	1630
246	533	1627
247	535	1623
248	537	1620
249	540	1620
250	541	1617
251	543	1613
252	544	1609
253	546	1604
254	547	1600
255	549	1597
256	551	1595
257	553	1592
258	555	1589
259	557	1585
260	558	1581
261	559	1576
262	561	1573
263	563	1570
264	565	1567
265	566	1563
266	568	1559
267	569	1555
268	571	1551
269	572	1548
270	574	1544
271	575	1541
272	577	1538
273	579	1534
274	580	1530
275	582	1526
276	583	1523
277	585	1519
278	587	1517
279	588	1514
280	590	1509
281	592	1507
282	593	1504
283	595	1500
284	596	1497
285	598	1494
286	600	1492
287	602	1489
288	604	1487
